,Dates,Country,Confirmed Cases,Deaths,Confirmed Cases (Scaled for purpose of graph)
0,2020-01-22,Afghanistan,0,0,0.0
1,2020-01-25,Afghanistan,0,0,0.0
2,2020-01-28,Afghanistan,0,0,0.0
3,2020-01-31,Afghanistan,0,0,0.0
4,2020-02-03,Afghanistan,0,0,0.0
5,2020-02-06,Afghanistan,0,0,0.0
6,2020-02-09,Afghanistan,0,0,0.0
7,2020-02-12,Afghanistan,0,0,0.0
8,2020-02-15,Afghanistan,0,0,0.0
9,2020-02-18,Afghanistan,0,0,0.0
10,2020-02-21,Afghanistan,0,0,0.0
11,2020-02-24,Afghanistan,1,0,0.881373587019543
12,2020-02-27,Afghanistan,1,0,0.881373587019543
13,2020-03-01,Afghanistan,1,0,0.881373587019543
14,2020-03-04,Afghanistan,1,0,0.881373587019543
15,2020-03-07,Afghanistan,1,0,0.881373587019543
16,2020-03-10,Afghanistan,5,0,2.3124383412727525
17,2020-03-13,Afghanistan,7,0,2.644120761058629
18,2020-03-16,Afghanistan,21,0,3.7382360302615427
19,2020-03-19,Afghanistan,22,0,3.7847057630994327
20,2020-03-22,Afghanistan,40,1,4.382182848065498
21,2020-03-25,Afghanistan,84,2,5.123999408359393
22,2020-03-28,Afghanistan,110,4,5.3936482068690905
23,2020-03-31,Afghanistan,174,4,5.85221073703777
24,2020-04-03,Afghanistan,281,6,6.331505015998638
25,2020-04-06,Afghanistan,367,11,6.598510884737168
26,2020-04-09,Afghanistan,484,15,6.875233154483393
27,2020-04-12,Afghanistan,607,18,7.101676650138711
28,2020-04-15,Afghanistan,784,25,7.357556607641675
29,2020-04-18,Afghanistan,933,30,7.531552668602064
30,2020-04-21,Afghanistan,1092,36,7.688913546514665
31,2020-04-24,Afghanistan,1351,43,7.901747655491332
32,2020-04-27,Afghanistan,1703,57,8.133293947423306
33,2020-04-30,Afghanistan,2171,64,8.37609040348029
34,2020-05-03,Afghanistan,2704,85,8.595634651914965
35,2020-05-06,Afghanistan,3392,104,8.822322199200167
36,2020-05-09,Afghanistan,4033,115,8.995412990803656
37,2020-05-12,Afghanistan,4963,127,9.202912866297044
38,2020-05-15,Afghanistan,6053,153,9.401456483274998
39,2020-05-18,Afghanistan,7072,173,9.557045789876106
40,2020-05-21,Afghanistan,8676,193,9.761463055827955
41,2020-05-24,Afghanistan,10582,218,9.96005690625659
42,2020-05-27,Afghanistan,12456,227,10.123104895685103
43,2020-05-30,Afghanistan,14525,249,10.276773763465028
44,2020-06-02,Afghanistan,16509,270,10.404808147205086
45,2020-06-05,Afghanistan,18969,309,10.543708527981455
46,2020-06-08,Afghanistan,20917,369,10.641464685585266
47,2020-06-11,Afghanistan,22890,426,10.7316025939837
48,2020-06-14,Afghanistan,24766,471,10.810374204742583
49,2020-06-17,Afghanistan,26874,504,10.892061736341459
50,2020-06-20,Afghanistan,28424,569,10.948136318570244
51,2020-06-23,Afghanistan,29481,618,10.984648447878126
52,2020-06-26,Afghanistan,30451,683,11.017021294150851
53,2020-06-29,Afghanistan,31238,733,11.04253776223381
54,2020-07-02,Afghanistan,32022,807,11.06732562636575
55,2020-07-05,Afghanistan,32951,864,11.095924069273986
56,2020-07-08,Afghanistan,33594,936,11.115249939358415
57,2020-07-11,Afghanistan,34366,994,11.137970163278316
58,2020-01-22,Albania,0,0,0.0
59,2020-01-25,Albania,0,0,0.0
60,2020-01-28,Albania,0,0,0.0
61,2020-01-31,Albania,0,0,0.0
62,2020-02-03,Albania,0,0,0.0
63,2020-02-06,Albania,0,0,0.0
64,2020-02-09,Albania,0,0,0.0
65,2020-02-12,Albania,0,0,0.0
66,2020-02-15,Albania,0,0,0.0
67,2020-02-18,Albania,0,0,0.0
68,2020-02-21,Albania,0,0,0.0
69,2020-02-24,Albania,0,0,0.0
70,2020-02-27,Albania,0,0,0.0
71,2020-03-01,Albania,0,0,0.0
72,2020-03-04,Albania,0,0,0.0
73,2020-03-07,Albania,0,0,0.0
74,2020-03-10,Albania,10,0,2.99822295029797
75,2020-03-13,Albania,33,1,4.1898842314256335
76,2020-03-16,Albania,51,1,4.625068916307673
77,2020-03-19,Albania,64,2,4.85209129348869
78,2020-03-22,Albania,89,2,5.181815110469487
79,2020-03-25,Albania,146,5,5.676765530341185
80,2020-03-28,Albania,197,10,5.976357351040425
81,2020-03-31,Albania,243,15,6.186212857645559
82,2020-04-03,Albania,304,17,6.41017758711447
83,2020-04-06,Albania,377,21,6.625394126968762
84,2020-04-09,Albania,409,23,6.706863831090701
85,2020-04-12,Albania,446,23,6.79346738938956
86,2020-04-15,Albania,494,25,6.895683722185311
87,2020-04-18,Albania,548,26,6.999423299996665
88,2020-04-21,Albania,609,26,7.104966122339819
89,2020-04-24,Albania,678,27,7.212295012351761
90,2020-04-27,Albania,736,28,7.294377760801971
91,2020-04-30,Albania,773,31,7.34342664753684
92,2020-05-03,Albania,795,31,7.371489690768016
93,2020-05-06,Albania,832,31,7.416979982535729
94,2020-05-09,Albania,856,31,7.445417897888516
95,2020-05-12,Albania,876,31,7.468513597281712
96,2020-05-15,Albania,916,31,7.513163843187834
97,2020-05-18,Albania,948,31,7.5475019609932055
98,2020-05-21,Albania,969,31,7.569412058702345
99,2020-05-24,Albania,998,32,7.598900707874323
100,2020-05-27,Albania,1050,33,7.649692850468807
101,2020-05-30,Albania,1122,33,7.716015465231119
102,2020-06-02,Albania,1164,33,7.752764993367284
103,2020-06-05,Albania,1212,33,7.793174517379448
104,2020-06-08,Albania,1263,34,7.834392459633606
105,2020-06-11,Albania,1385,35,7.926602729510178
106,2020-06-14,Albania,1521,36,8.020270580883356
107,2020-06-17,Albania,1722,38,8.144388949856568
108,2020-06-20,Albania,1891,43,8.238008319131236
109,2020-06-23,Albania,2047,45,8.317277825884124
110,2020-06-26,Albania,2269,51,8.420241713898927
111,2020-06-29,Albania,2466,58,8.503499905394838
112,2020-07-02,Albania,2662,69,8.57998021479462
113,2020-07-05,Albania,2893,76,8.663196515406623
114,2020-07-08,Albania,3106,83,8.734238210182735
115,2020-07-11,Albania,3371,89,8.816111917793997
116,2020-01-22,Algeria,0,0,0.0
117,2020-01-25,Algeria,0,0,0.0
118,2020-01-28,Algeria,0,0,0.0
119,2020-01-31,Algeria,0,0,0.0
120,2020-02-03,Algeria,0,0,0.0
121,2020-02-06,Algeria,0,0,0.0
122,2020-02-09,Algeria,0,0,0.0
123,2020-02-12,Algeria,0,0,0.0
124,2020-02-15,Algeria,0,0,0.0
125,2020-02-18,Algeria,0,0,0.0
126,2020-02-21,Algeria,0,0,0.0
127,2020-02-24,Algeria,0,0,0.0
128,2020-02-27,Algeria,1,0,0.881373587019543
129,2020-03-01,Algeria,1,0,0.881373587019543
130,2020-03-04,Algeria,12,0,3.179785437699879
131,2020-03-07,Algeria,17,0,3.5272244561999657
132,2020-03-10,Algeria,20,0,3.6895038689889055
133,2020-03-13,Algeria,26,2,3.9516133360820653
134,2020-03-16,Algeria,54,4,4.6822169499829025
135,2020-03-19,Algeria,87,9,5.159088327040512
136,2020-03-22,Algeria,201,17,5.99645827652723
137,2020-03-25,Algeria,302,21,6.403576939031391
138,2020-03-28,Algeria,454,29,6.811245591508322
139,2020-03-31,Algeria,716,44,7.266827835176675
140,2020-04-03,Algeria,1171,105,7.7587607264742156
141,2020-04-06,Algeria,1423,173,7.953669902110894
142,2020-04-09,Algeria,1666,235,8.111328093358765
143,2020-04-12,Algeria,1914,293,8.250097820815528
144,2020-04-15,Algeria,2160,336,8.371010734821828
145,2020-04-18,Algeria,2534,367,8.530701580374826
146,2020-04-21,Algeria,2811,392,8.634442783105152
147,2020-04-24,Algeria,3127,415,8.740976563585049
148,2020-04-27,Algeria,3517,432,8.858510833245274
149,2020-04-30,Algeria,4006,450,8.988695712363938
150,2020-05-03,Algeria,4474,463,9.099185335099605
151,2020-05-06,Algeria,4997,476,9.20974020191616
152,2020-05-09,Algeria,5558,494,9.31614079895527
153,2020-05-12,Algeria,6067,515,9.403766715294154
154,2020-05-15,Algeria,6629,536,9.492356428490442
155,2020-05-18,Algeria,7201,555,9.575122369630003
156,2020-05-21,Algeria,7728,575,9.645752560638362
157,2020-05-24,Algeria,8306,600,9.717880608374378
158,2020-05-27,Algeria,8857,623,9.782110569556416
159,2020-05-30,Algeria,9267,646,9.827362165057767
160,2020-06-02,Algeria,9626,667,9.86537023312104
161,2020-06-05,Algeria,9935,690,9.896966338078682
162,2020-06-08,Algeria,10265,715,9.929642512385566
163,2020-06-11,Algeria,10589,741,9.960718188220016
164,2020-06-14,Algeria,10919,767,9.991406852670895
165,2020-06-17,Algeria,11268,799,10.022869311525211
166,2020-06-20,Algeria,11631,837,10.054576408747002
167,2020-06-23,Algeria,12076,861,10.092122473101002
168,2020-06-26,Algeria,12685,885,10.141322654146999
169,2020-06-29,Algeria,13571,905,10.208837623998743
170,2020-07-02,Algeria,14657,928,10.28582049775097
171,2020-07-05,Algeria,15941,952,10.369796867177397
172,2020-07-08,Algeria,17348,978,10.454379686345897
173,2020-07-11,Algeria,18712,1004,10.530067489537963
174,2020-01-22,Andorra,0,0,0.0
175,2020-01-25,Andorra,0,0,0.0
176,2020-01-28,Andorra,0,0,0.0
177,2020-01-31,Andorra,0,0,0.0
178,2020-02-03,Andorra,0,0,0.0
179,2020-02-06,Andorra,0,0,0.0
180,2020-02-09,Andorra,0,0,0.0
181,2020-02-12,Andorra,0,0,0.0
182,2020-02-15,Andorra,0,0,0.0
183,2020-02-18,Andorra,0,0,0.0
184,2020-02-21,Andorra,0,0,0.0
185,2020-02-24,Andorra,0,0,0.0
186,2020-02-27,Andorra,0,0,0.0
187,2020-03-01,Andorra,0,0,0.0
188,2020-03-04,Andorra,1,0,0.881373587019543
189,2020-03-07,Andorra,1,0,0.881373587019543
190,2020-03-10,Andorra,1,0,0.881373587019543
191,2020-03-13,Andorra,1,0,0.881373587019543
192,2020-03-16,Andorra,2,0,1.4436354751788103
193,2020-03-19,Andorra,53,0,4.663528081877013
194,2020-03-22,Andorra,113,1,5.420554577364409
195,2020-03-25,Andorra,188,1,5.929596216651199
196,2020-03-28,Andorra,308,3,6.423249598874763
197,2020-03-31,Andorra,376,12,6.622738092279237
198,2020-04-03,Andorra,439,16,6.777647890844625
199,2020-04-06,Andorra,525,21,6.9565463501798135
200,2020-04-09,Andorra,583,25,7.061335102443874
201,2020-04-12,Andorra,638,29,7.151486078088386
202,2020-04-15,Andorra,673,33,7.204893062167106
203,2020-04-18,Andorra,704,35,7.249926041140385
204,2020-04-21,Andorra,717,37,7.268223507456331
205,2020-04-24,Andorra,731,40,7.2875611081579095
206,2020-04-27,Andorra,743,40,7.303843678135748
207,2020-04-30,Andorra,745,42,7.306531849369361
208,2020-05-03,Andorra,748,45,7.310550605358453
209,2020-05-06,Andorra,751,46,7.314553275585411
210,2020-05-09,Andorra,754,48,7.318539988308973
211,2020-05-12,Andorra,758,48,7.323831001314571
212,2020-05-15,Andorra,761,49,7.327780970110066
213,2020-05-18,Andorra,761,51,7.327780970110066
214,2020-05-21,Andorra,762,51,7.32909416680273
215,2020-05-24,Andorra,762,51,7.32909416680273
216,2020-05-27,Andorra,763,51,7.3304056412726935
217,2020-05-30,Andorra,764,51,7.331715398031336
218,2020-06-02,Andorra,844,51,7.431300026113693
219,2020-06-05,Andorra,852,51,7.44073405178724
220,2020-06-08,Andorra,852,51,7.44073405178724
221,2020-06-11,Andorra,852,51,7.44073405178724
222,2020-06-14,Andorra,853,51,7.4419070716425795
223,2020-06-17,Andorra,854,52,7.443078717135279
224,2020-06-20,Andorra,855,52,7.444248991482098
225,2020-06-23,Andorra,855,52,7.444248991482098
226,2020-06-26,Andorra,855,52,7.444248991482098
227,2020-06-29,Andorra,855,52,7.444248991482098
228,2020-07-02,Andorra,855,52,7.444248991482098
229,2020-07-05,Andorra,855,52,7.444248991482098
230,2020-07-08,Andorra,855,52,7.444248991482098
231,2020-07-11,Andorra,855,52,7.444248991482098
232,2020-01-22,Angola,0,0,0.0
233,2020-01-25,Angola,0,0,0.0
234,2020-01-28,Angola,0,0,0.0
235,2020-01-31,Angola,0,0,0.0
236,2020-02-03,Angola,0,0,0.0
237,2020-02-06,Angola,0,0,0.0
238,2020-02-09,Angola,0,0,0.0
239,2020-02-12,Angola,0,0,0.0
240,2020-02-15,Angola,0,0,0.0
241,2020-02-18,Angola,0,0,0.0
