,Country,Dates,Confirmed,latitude,longitudes
68,Afghanistan,2020-03-30,170,33.7680065,66.2385139
68,Albania,2020-03-30,223,41.000028,19.9999619
68,Algeria,2020-03-30,584,28.0000272,2.9999825
68,Andorra,2020-03-30,370,42.5407167,1.5732033
68,Angola,2020-03-30,7,-11.8775768,17.5691241
68,Antigua and Barbuda,2020-03-30,7,17.2234721,-61.9554608
68,Argentina,2020-03-30,820,-34.9964963,-64.9672817
68,Armenia,2020-03-30,482,40.7696272,44.6736646
68,Australia,2020-03-30,4361,-24.7761086,134.755
68,Austria,2020-03-30,9618,47.2000338,13.199959
68,Azerbaijan,2020-03-30,273,40.3936294,47.7872508
68,Bahamas,2020-03-30,14,24.7736546,-78.0000547
68,Bahrain,2020-03-30,515,26.1551249,50.5344606
68,Bangladesh,2020-03-30,49,24.4768783,90.2932426
68,Barbados,2020-03-30,33,13.1500331,-59.5250305
68,Belarus,2020-03-30,152,53.4250605,27.6971358
68,Belgium,2020-03-30,11899,50.6402809,4.6667145
68,Belize,2020-03-30,3,16.8259793,-88.7600927
68,Benin,2020-03-30,6,9.5293472,2.2584408
68,Bhutan,2020-03-30,4,27.549511,90.5119273
68,Bolivia,2020-03-30,97,-17.0568696,-64.9912286
68,Bosnia and Herzegovina,2020-03-30,368,44.3053476,17.5961467
68,Botswana,2020-03-30,3,-23.1681782,24.5928742
68,Brazil,2020-03-30,4579,-10.3333333,-53.2
68,Brunei,2020-03-30,127,4.4137155,114.5653908
68,Bulgaria,2020-03-30,359,42.6073975,25.4856617
68,Burkina Faso,2020-03-30,246,12.0753083,-1.6880314
68,Burma,2020-03-30,14,17.1750495,95.9999652
68,Cabo Verde,2020-03-30,6,16.0000552,-24.0083947
68,Cambodia,2020-03-30,107,13.5066394,104.869423
68,Cameroon,2020-03-30,139,4.6125522,13.1535811
68,Canada,2020-03-30,7398,61.0666922,-107.9917071
68,Central African Republic,2020-03-30,3,7.0323598,19.9981227
68,Chad,2020-03-30,5,15.6134137,19.0156172
68,Chile,2020-03-30,2449,-31.7613365,-71.3187697
68,China,2020-03-30,82198,35.000074,104.999927
68,Colombia,2020-03-30,798,2.8894434,-73.783892
68,Congo (Brazzaville),2020-03-30,19,-0.7264327,15.6419155
