,Country,Dates,Confirmed
170,Afghanistan,2020-07-10,34194
170,Albania,2020-07-10,3278
170,Algeria,2020-07-10,18242
170,Andorra,2020-07-10,855
170,Angola,2020-07-10,458
170,Antigua and Barbuda,2020-07-10,74
170,Argentina,2020-07-10,94060
170,Armenia,2020-07-10,30903
170,Australia,2020-07-10,9553
170,Austria,2020-07-10,18709
170,Azerbaijan,2020-07-10,22990
170,Bahamas,2020-07-10,108
170,Bahrain,2020-07-10,32039
170,Bangladesh,2020-07-10,178443
170,Barbados,2020-07-10,98
170,Belarus,2020-07-10,64604
170,Belgium,2020-07-10,62357
170,Belize,2020-07-10,37
170,Benin,2020-07-10,1285
170,Bhutan,2020-07-10,80
170,Bolivia,2020-07-10,45565
170,Bosnia and Herzegovina,2020-07-10,6402
170,Botswana,2020-07-10,314
170,Brazil,2020-07-10,1800827
170,Brunei,2020-07-10,141
170,Bulgaria,2020-07-10,6964
170,Burkina Faso,2020-07-10,1020
170,Burma,2020-07-10,326
170,Burundi,2020-07-10,191
170,Cabo Verde,2020-07-10,1591
170,Cambodia,2020-07-10,141
170,Cameroon,2020-07-10,14916
170,Canada,2020-07-10,108984
170,Central African Republic,2020-07-10,4259
170,Chad,2020-07-10,874
170,Chile,2020-07-10,309274
170,China,2020-07-10,84992
170,Colombia,2020-07-10,133973
170,Comoros,2020-07-10,314
170,Congo (Brazzaville),2020-07-10,2028
170,Congo (Kinshasa),2020-07-10,7905
170,Costa Rica,2020-07-10,6845
170,Cote d'Ivoire,2020-07-10,12052
170,Croatia,2020-07-10,3532
170,Cuba,2020-07-10,2413
170,Cyprus,2020-07-10,1013
170,Czechia,2020-07-10,13001
170,Denmark,2020-07-10,13147
170,Diamond Princess,2020-07-10,712
170,Djibouti,2020-07-10,4968
170,Dominica,2020-07-10,18
170,Dominican Republic,2020-07-10,41915
170,Ecuador,2020-07-10,65018
170,Egypt,2020-07-10,80235
170,El Salvador,2020-07-10,9142
170,Equatorial Guinea,2020-07-10,3071
170,Eritrea,2020-07-10,232
170,Estonia,2020-07-10,2013
170,Eswatini,2020-07-10,1257
170,Ethiopia,2020-07-10,7120
170,Fiji,2020-07-10,26
170,Finland,2020-07-10,7279
170,France,2020-07-10,208015
170,Gabon,2020-07-10,5942
170,Gambia,2020-07-10,64
170,Georgia,2020-07-10,973
170,Germany,2020-07-10,199332
170,Ghana,2020-07-10,23834
170,Greece,2020-07-10,3732
170,Grenada,2020-07-10,23
170,Guatemala,2020-07-10,27619
170,Guinea,2020-07-10,5969
170,Guinea-Bissau,2020-07-10,1842
170,Guyana,2020-07-10,290
170,Haiti,2020-07-10,6617
170,Holy See,2020-07-10,12
170,Honduras,2020-07-10,27053
170,Hungary,2020-07-10,4223
170,Iceland,2020-07-10,1886
170,India,2020-07-10,820916
170,Indonesia,2020-07-10,72347
170,Iran,2020-07-10,252720
170,Iraq,2020-07-10,72460
170,Ireland,2020-07-10,25589
170,Israel,2020-07-10,36266
170,Italy,2020-07-10,242639
170,Jamaica,2020-07-10,753
170,Japan,2020-07-10,21044
170,Jordan,2020-07-10,1173
170,Kazakhstan,2020-07-10,56455
170,Kenya,2020-07-10,9448
170,"Korea, South",2020-07-10,13373
170,Kosovo,2020-07-10,4307
170,Kuwait,2020-07-10,53580
170,Kyrgyzstan,2020-07-10,9910
170,Laos,2020-07-10,19
170,Latvia,2020-07-10,1165
170,Lebanon,2020-07-10,2082
170,Lesotho,2020-07-10,184
170,Liberia,2020-07-10,963
170,Libya,2020-07-10,1342
170,Liechtenstein,2020-07-10,84
170,Lithuania,2020-07-10,1861
170,Luxembourg,2020-07-10,4777
170,MS Zaandam,2020-07-10,9
170,Madagascar,2020-07-10,4143
170,Malawi,2020-07-10,2069
170,Malaysia,2020-07-10,8696
170,Maldives,2020-07-10,2617
170,Mali,2020-07-10,2404
170,Malta,2020-07-10,674
170,Mauritania,2020-07-10,5203
170,Mauritius,2020-07-10,342
170,Mexico,2020-07-10,289174
170,Moldova,2020-07-10,18924
170,Monaco,2020-07-10,108
170,Mongolia,2020-07-10,227
170,Montenegro,2020-07-10,1019
170,Morocco,2020-07-10,15328
170,Mozambique,2020-07-10,1111
170,Namibia,2020-07-10,668
170,Nepal,2020-07-10,16649
170,Netherlands,2020-07-10,51055
170,New Zealand,2020-07-10,1543
170,Nicaragua,2020-07-10,2846
170,Niger,2020-07-10,1099
170,Nigeria,2020-07-10,31323
170,North Macedonia,2020-07-10,7777
170,Norway,2020-07-10,8974
170,Oman,2020-07-10,53614
170,Pakistan,2020-07-10,246351
170,Panama,2020-07-10,43257
170,Papua New Guinea,2020-07-10,11
170,Paraguay,2020-07-10,2736
170,Peru,2020-07-10,319646
170,Philippines,2020-07-10,52914
170,Poland,2020-07-10,37216
170,Portugal,2020-07-10,45679
170,Qatar,2020-07-10,102630
170,Romania,2020-07-10,31381
170,Russia,2020-07-10,712863
170,Rwanda,2020-07-10,1252
170,Saint Kitts and Nevis,2020-07-10,17
170,Saint Lucia,2020-07-10,22
170,Saint Vincent and the Grenadines,2020-07-10,29
170,San Marino,2020-07-10,699
170,Sao Tome and Principe,2020-07-10,727
170,Saudi Arabia,2020-07-10,226486
170,Senegal,2020-07-10,7882
170,Serbia,2020-07-10,17728
170,Seychelles,2020-07-10,100
170,Sierra Leone,2020-07-10,1613
170,Singapore,2020-07-10,45614
170,Slovakia,2020-07-10,1870
170,Slovenia,2020-07-10,1793
170,Somalia,2020-07-10,3038
170,South Africa,2020-07-10,250687
170,South Sudan,2020-07-10,2021
170,Spain,2020-07-10,253908
170,Sri Lanka,2020-07-10,2454
170,Sudan,2020-07-10,10204
170,Suriname,2020-07-10,726
170,Sweden,2020-07-10,74898
170,Switzerland,2020-07-10,32690
170,Syria,2020-07-10,394
170,Taiwan*,2020-07-10,449
170,Tajikistan,2020-07-10,6457
170,Tanzania,2020-07-10,509
170,Thailand,2020-07-10,3202
170,Timor-Leste,2020-07-10,24
170,Togo,2020-07-10,710
170,Trinidad and Tobago,2020-07-10,133
170,Tunisia,2020-07-10,1240
170,Turkey,2020-07-10,210965
170,US,2020-07-10,3184573
170,Uganda,2020-07-10,1006
170,Ukraine,2020-07-10,53116
170,United Arab Emirates,2020-07-10,54050
170,United Kingdom,2020-07-10,289678
170,Uruguay,2020-07-10,985
170,Uzbekistan,2020-07-10,12027
170,Venezuela,2020-07-10,8803
170,Vietnam,2020-07-10,370
170,West Bank and Gaza,2020-07-10,5551
170,Western Sahara,2020-07-10,10
170,Yemen,2020-07-10,1380
170,Zambia,2020-07-10,1895
170,Zimbabwe,2020-07-10,942
