,Country,Dates,Deaths
68,Afghanistan,2020-03-30,4
68,Albania,2020-03-30,11
68,Algeria,2020-03-30,35
68,Andorra,2020-03-30,8
68,Angola,2020-03-30,2
68,Antigua and Barbuda,2020-03-30,0
68,Argentina,2020-03-30,23
68,Armenia,2020-03-30,3
68,Australia,2020-03-30,17
68,Austria,2020-03-30,108
68,Azerbaijan,2020-03-30,4
68,Bahamas,2020-03-30,0
68,Bahrain,2020-03-30,4
68,Bangladesh,2020-03-30,5
68,Barbados,2020-03-30,0
68,Belarus,2020-03-30,0
68,Belgium,2020-03-30,513
68,Belize,2020-03-30,0
68,Benin,2020-03-30,0
68,Bhutan,2020-03-30,0
68,Bolivia,2020-03-30,4
68,Bosnia and Herzegovina,2020-03-30,10
68,Botswana,2020-03-30,0
68,Brazil,2020-03-30,159
68,Brunei,2020-03-30,1
68,Bulgaria,2020-03-30,8
68,Burkina Faso,2020-03-30,12
68,Burma,2020-03-30,0
68,Cabo Verde,2020-03-30,1
68,Cambodia,2020-03-30,0
68,Cameroon,2020-03-30,6
68,Canada,2020-03-30,80
68,Central African Republic,2020-03-30,0
68,Chad,2020-03-30,0
68,Chile,2020-03-30,8
68,China,2020-03-30,3308
68,Colombia,2020-03-30,12
68,Congo (Brazzaville),2020-03-30,0
68,Congo (Kinshasa),2020-03-30,8
68,Costa Rica,2020-03-30,2
68,Cote d'Ivoire,2020-03-30,1
68,Croatia,2020-03-30,6
68,Cuba,2020-03-30,4
68,Cyprus,2020-03-30,7
68,Czechia,2020-03-30,23
68,Denmark,2020-03-30,77
68,Diamond Princess,2020-03-30,10
68,Djibouti,2020-03-30,0
68,Dominica,2020-03-30,0
68,Dominican Republic,2020-03-30,42
68,Ecuador,2020-03-30,60
68,Egypt,2020-03-30,41
68,El Salvador,2020-03-30,0
68,Equatorial Guinea,2020-03-30,0
68,Eritrea,2020-03-30,0
68,Estonia,2020-03-30,3
68,Eswatini,2020-03-30,0
68,Ethiopia,2020-03-30,0
68,Fiji,2020-03-30,0
68,Finland,2020-03-30,13
68,France,2020-03-30,3030
68,Gabon,2020-03-30,1
68,Gambia,2020-03-30,1
68,Georgia,2020-03-30,0
68,Germany,2020-03-30,645
68,Ghana,2020-03-30,5
68,Greece,2020-03-30,43
68,Grenada,2020-03-30,0
68,Guatemala,2020-03-30,1
68,Guinea,2020-03-30,0
68,Guinea-Bissau,2020-03-30,0
68,Guyana,2020-03-30,1
68,Haiti,2020-03-30,0
68,Holy See,2020-03-30,0
68,Honduras,2020-03-30,7
68,Hungary,2020-03-30,15
68,Iceland,2020-03-30,2
68,India,2020-03-30,32
68,Indonesia,2020-03-30,122
68,Iran,2020-03-30,2757
68,Iraq,2020-03-30,46
68,Ireland,2020-03-30,54
68,Israel,2020-03-30,16
68,Italy,2020-03-30,11591
68,Jamaica,2020-03-30,1
68,Japan,2020-03-30,54
68,Jordan,2020-03-30,5
68,Kazakhstan,2020-03-30,1
68,Kenya,2020-03-30,1
68,"Korea, South",2020-03-30,158
68,Kosovo,2020-03-30,1
68,Kuwait,2020-03-30,0
68,Kyrgyzstan,2020-03-30,0
68,Laos,2020-03-30,0
68,Latvia,2020-03-30,0
68,Lebanon,2020-03-30,11
68,Liberia,2020-03-30,0
68,Libya,2020-03-30,0
68,Liechtenstein,2020-03-30,0
68,Lithuania,2020-03-30,7
68,Luxembourg,2020-03-30,22
68,MS Zaandam,2020-03-30,0
68,Madagascar,2020-03-30,0
68,Malaysia,2020-03-30,37
68,Maldives,2020-03-30,0
68,Mali,2020-03-30,2
68,Malta,2020-03-30,0
68,Mauritania,2020-03-30,1
68,Mauritius,2020-03-30,3
68,Mexico,2020-03-30,20
68,Moldova,2020-03-30,2
68,Monaco,2020-03-30,1
68,Mongolia,2020-03-30,0
68,Montenegro,2020-03-30,1
68,Morocco,2020-03-30,33
68,Mozambique,2020-03-30,0
68,Namibia,2020-03-30,0
68,Nepal,2020-03-30,0
68,Netherlands,2020-03-30,865
68,New Zealand,2020-03-30,1
68,Nicaragua,2020-03-30,1
68,Niger,2020-03-30,3
68,Nigeria,2020-03-30,2
68,North Macedonia,2020-03-30,7
68,Norway,2020-03-30,32
68,Oman,2020-03-30,0
68,Pakistan,2020-03-30,21
68,Panama,2020-03-30,24
68,Papua New Guinea,2020-03-30,0
68,Paraguay,2020-03-30,3
68,Peru,2020-03-30,24
68,Philippines,2020-03-30,78
68,Poland,2020-03-30,31
68,Portugal,2020-03-30,140
68,Qatar,2020-03-30,1
68,Romania,2020-03-30,65
68,Russia,2020-03-30,9
68,Rwanda,2020-03-30,0
68,Saint Kitts and Nevis,2020-03-30,0
68,Saint Lucia,2020-03-30,0
68,Saint Vincent and the Grenadines,2020-03-30,0
68,San Marino,2020-03-30,25
68,Saudi Arabia,2020-03-30,8
68,Senegal,2020-03-30,0
68,Serbia,2020-03-30,16
