,Country,Dates,Deaths
170,Afghanistan,2020-07-10,971
170,Albania,2020-07-10,85
170,Algeria,2020-07-10,996
170,Andorra,2020-07-10,52
170,Angola,2020-07-10,23
170,Antigua and Barbuda,2020-07-10,3
170,Argentina,2020-07-10,1774
170,Armenia,2020-07-10,546
170,Australia,2020-07-10,107
170,Austria,2020-07-10,706
170,Azerbaijan,2020-07-10,292
170,Bahamas,2020-07-10,11
170,Bahrain,2020-07-10,104
170,Bangladesh,2020-07-10,2275
170,Barbados,2020-07-10,7
170,Belarus,2020-07-10,454
170,Belgium,2020-07-10,9781
170,Belize,2020-07-10,2
170,Benin,2020-07-10,23
170,Bhutan,2020-07-10,0
170,Bolivia,2020-07-10,1702
170,Bosnia and Herzegovina,2020-07-10,216
170,Botswana,2020-07-10,1
170,Brazil,2020-07-10,70398
170,Brunei,2020-07-10,3
170,Bulgaria,2020-07-10,267
170,Burkina Faso,2020-07-10,53
170,Burma,2020-07-10,6
170,Burundi,2020-07-10,1
170,Cabo Verde,2020-07-10,19
170,Cambodia,2020-07-10,0
170,Cameroon,2020-07-10,359
170,Canada,2020-07-10,8811
170,Central African Republic,2020-07-10,53
170,Chad,2020-07-10,74
170,Chile,2020-07-10,6781
170,China,2020-07-10,4641
170,Colombia,2020-07-10,4985
170,Comoros,2020-07-10,7
170,Congo (Brazzaville),2020-07-10,47
170,Congo (Kinshasa),2020-07-10,189
170,Costa Rica,2020-07-10,26
170,Cote d'Ivoire,2020-07-10,81
170,Croatia,2020-07-10,117
170,Cuba,2020-07-10,86
170,Cyprus,2020-07-10,19
170,Czechia,2020-07-10,352
170,Denmark,2020-07-10,609
170,Diamond Princess,2020-07-10,13
170,Djibouti,2020-07-10,56
170,Dominica,2020-07-10,0
170,Dominican Republic,2020-07-10,864
170,Ecuador,2020-07-10,4939
170,Egypt,2020-07-10,3702
170,El Salvador,2020-07-10,249
170,Equatorial Guinea,2020-07-10,51
170,Eritrea,2020-07-10,0
170,Estonia,2020-07-10,69
170,Eswatini,2020-07-10,18
170,Ethiopia,2020-07-10,124
170,Fiji,2020-07-10,0
170,Finland,2020-07-10,329
170,France,2020-07-10,30007
170,Gabon,2020-07-10,46
170,Gambia,2020-07-10,3
170,Georgia,2020-07-10,15
170,Germany,2020-07-10,9063
170,Ghana,2020-07-10,135
170,Greece,2020-07-10,193
170,Grenada,2020-07-10,0
170,Guatemala,2020-07-10,1139
170,Guinea,2020-07-10,37
170,Guinea-Bissau,2020-07-10,26
170,Guyana,2020-07-10,16
170,Haiti,2020-07-10,135
170,Holy See,2020-07-10,0
170,Honduras,2020-07-10,750
170,Hungary,2020-07-10,593
170,Iceland,2020-07-10,10
170,India,2020-07-10,22123
170,Indonesia,2020-07-10,3469
170,Iran,2020-07-10,12447
170,Iraq,2020-07-10,2960
170,Ireland,2020-07-10,1744
170,Israel,2020-07-10,351
170,Italy,2020-07-10,34938
170,Jamaica,2020-07-10,10
170,Japan,2020-07-10,982
170,Jordan,2020-07-10,10
170,Kazakhstan,2020-07-10,264
170,Kenya,2020-07-10,181
170,"Korea, South",2020-07-10,288
170,Kosovo,2020-07-10,94
170,Kuwait,2020-07-10,383
170,Kyrgyzstan,2020-07-10,125
170,Laos,2020-07-10,0
170,Latvia,2020-07-10,30
170,Lebanon,2020-07-10,36
170,Lesotho,2020-07-10,1
170,Liberia,2020-07-10,47
170,Libya,2020-07-10,38
170,Liechtenstein,2020-07-10,1
170,Lithuania,2020-07-10,79
170,Luxembourg,2020-07-10,110
170,MS Zaandam,2020-07-10,2
170,Madagascar,2020-07-10,34
170,Malawi,2020-07-10,31
170,Malaysia,2020-07-10,121
170,Maldives,2020-07-10,13
170,Mali,2020-07-10,121
170,Malta,2020-07-10,9
170,Mauritania,2020-07-10,146
170,Mauritius,2020-07-10,10
170,Mexico,2020-07-10,34191
170,Moldova,2020-07-10,635
170,Monaco,2020-07-10,4
170,Mongolia,2020-07-10,0
170,Montenegro,2020-07-10,19
170,Morocco,2020-07-10,243
170,Mozambique,2020-07-10,9
170,Namibia,2020-07-10,1
170,Nepal,2020-07-10,35
170,Netherlands,2020-07-10,6155
170,New Zealand,2020-07-10,22
170,Nicaragua,2020-07-10,91
170,Niger,2020-07-10,68
170,Nigeria,2020-07-10,709
170,North Macedonia,2020-07-10,368
170,Norway,2020-07-10,252
170,Oman,2020-07-10,244
170,Pakistan,2020-07-10,5123
170,Panama,2020-07-10,863
170,Papua New Guinea,2020-07-10,0
170,Paraguay,2020-07-10,20
170,Peru,2020-07-10,11500
170,Philippines,2020-07-10,1360
170,Poland,2020-07-10,1562
170,Portugal,2020-07-10,1646
170,Qatar,2020-07-10,146
170,Romania,2020-07-10,1847
170,Russia,2020-07-10,11000
170,Rwanda,2020-07-10,3
170,Saint Kitts and Nevis,2020-07-10,0
170,Saint Lucia,2020-07-10,0
170,Saint Vincent and the Grenadines,2020-07-10,0
170,San Marino,2020-07-10,42
170,Sao Tome and Principe,2020-07-10,14
170,Saudi Arabia,2020-07-10,2151
170,Senegal,2020-07-10,145
170,Serbia,2020-07-10,370
170,Seychelles,2020-07-10,0
170,Sierra Leone,2020-07-10,63
170,Singapore,2020-07-10,26
170,Slovakia,2020-07-10,28
170,Slovenia,2020-07-10,111
170,Somalia,2020-07-10,92
170,South Africa,2020-07-10,3860
170,South Sudan,2020-07-10,38
170,Spain,2020-07-10,28403
170,Sri Lanka,2020-07-10,11
170,Sudan,2020-07-10,649
170,Suriname,2020-07-10,18
170,Sweden,2020-07-10,5526
170,Switzerland,2020-07-10,1966
170,Syria,2020-07-10,16
170,Taiwan*,2020-07-10,7
170,Tajikistan,2020-07-10,55
170,Tanzania,2020-07-10,21
170,Thailand,2020-07-10,58
170,Timor-Leste,2020-07-10,0
170,Togo,2020-07-10,15
170,Trinidad and Tobago,2020-07-10,8
170,Tunisia,2020-07-10,50
170,Turkey,2020-07-10,5323
