,Country,Dates,Recovered
171,Afghanistan,2020-07-11,21135
171,Albania,2020-07-11,1881
171,Algeria,2020-07-11,13124
171,Andorra,2020-07-11,803
171,Angola,2020-07-11,118
171,Antigua and Barbuda,2020-07-11,57
171,Argentina,2020-07-11,41408
171,Armenia,2020-07-11,19419
171,Australia,2020-07-11,7727
171,Austria,2020-07-11,16864
171,Azerbaijan,2020-07-11,14607
171,Bahamas,2020-07-11,89
171,Bahrain,2020-07-11,27828
171,Bangladesh,2020-07-11,88034
171,Barbados,2020-07-11,90
171,Belarus,2020-07-11,54919
171,Belgium,2020-07-11,17196
171,Belize,2020-07-11,20
171,Benin,2020-07-11,557
171,Bhutan,2020-07-11,57
171,Bolivia,2020-07-11,14333
171,Bosnia and Herzegovina,2020-07-11,3078
171,Botswana,2020-07-11,31
171,Brazil,2020-07-11,1244088
171,Brunei,2020-07-11,138
171,Bulgaria,2020-07-11,3311
171,Burkina Faso,2020-07-11,869
171,Burma,2020-07-11,260
171,Burundi,2020-07-11,118
171,Cabo Verde,2020-07-11,748
171,Cambodia,2020-07-11,133
171,Cameroon,2020-07-11,11928
171,Canada,2020-07-11,72784
171,Central African Republic,2020-07-11,1145
171,Chad,2020-07-11,790
171,Chile,2020-07-11,281114
171,China,2020-07-11,79876
171,Colombia,2020-07-11,58800
171,Comoros,2020-07-11,296
171,Congo (Brazzaville),2020-07-11,589
171,Congo (Kinshasa),2020-07-11,3615
171,Costa Rica,2020-07-11,2220
171,Cote d'Ivoire,2020-07-11,6357
171,Croatia,2020-07-11,2466
171,Cuba,2020-07-11,2254
171,Cyprus,2020-07-11,839
171,Czechia,2020-07-11,8227
171,Denmark,2020-07-11,12278
171,Diamond Princess,2020-07-11,651
171,Djibouti,2020-07-11,4689
171,Dominica,2020-07-11,18
171,Dominican Republic,2020-07-11,20996
171,Ecuador,2020-07-11,30107
171,Egypt,2020-07-11,23876
171,El Salvador,2020-07-11,5516
171,Equatorial Guinea,2020-07-11,842
171,Eritrea,2020-07-11,107
171,Estonia,2020-07-11,1895
171,Eswatini,2020-07-11,656
171,Ethiopia,2020-07-11,2430
171,Fiji,2020-07-11,18
171,Finland,2020-07-11,6800
171,France,2020-07-11,78513
171,Gabon,2020-07-11,3004
171,Gambia,2020-07-11,34
171,Georgia,2020-07-11,851
171,Germany,2020-07-11,184266
171,Ghana,2020-07-11,19831
171,Greece,2020-07-11,1374
171,Grenada,2020-07-11,23
171,Guatemala,2020-07-11,4073
171,Guinea,2020-07-11,4802
171,Guinea-Bissau,2020-07-11,773
171,Guyana,2020-07-11,148
171,Haiti,2020-07-11,2590
171,Holy See,2020-07-11,12
171,Honduras,2020-07-11,2901
171,Hungary,2020-07-11,2974
171,Iceland,2020-07-11,1860
171,India,2020-07-11,534618
171,Indonesia,2020-07-11,34719
171,Iran,2020-07-11,217666
171,Iraq,2020-07-11,43079
171,Ireland,2020-07-11,23364
171,Israel,2020-07-11,18814
171,Italy,2020-07-11,194579
171,Jamaica,2020-07-11,615
171,Japan,2020-07-11,17494
171,Jordan,2020-07-11,991
171,Kazakhstan,2020-07-11,33814
171,Kenya,2020-07-11,2832
171,"Korea, South",2020-07-11,12178
171,Kosovo,2020-07-11,2227
171,Kuwait,2020-07-11,43961
171,Kyrgyzstan,2020-07-11,3253
171,Laos,2020-07-11,19
171,Latvia,2020-07-11,1019
171,Lebanon,2020-07-11,1402
171,Lesotho,2020-07-11,26
171,Liberia,2020-07-11,420
171,Libya,2020-07-11,340
171,Liechtenstein,2020-07-11,81
171,Lithuania,2020-07-11,1579
171,Luxembourg,2020-07-11,4086
171,MS Zaandam,2020-07-11,0
171,Madagascar,2020-07-11,2287
171,Malawi,2020-07-11,517
171,Malaysia,2020-07-11,8515
171,Maldives,2020-07-11,2268
171,Mali,2020-07-11,1683
171,Malta,2020-07-11,658
171,Mauritania,2020-07-11,2160
171,Mauritius,2020-07-11,330
171,Mexico,2020-07-11,229856
171,Moldova,2020-07-11,12456
171,Monaco,2020-07-11,96
171,Mongolia,2020-07-11,202
171,Montenegro,2020-07-11,325
171,Morocco,2020-07-11,12065
171,Mozambique,2020-07-11,349
171,Namibia,2020-07-11,25
171,Nepal,2020-07-11,8442
171,Netherlands,2020-07-11,193
171,New Zealand,2020-07-11,1497
171,Nicaragua,2020-07-11,1993
171,Niger,2020-07-11,992
171,Nigeria,2020-07-11,13103
171,North Macedonia,2020-07-11,4080
171,Norway,2020-07-11,8138
171,Oman,2020-07-11,35255
171,Pakistan,2020-07-11,156700
171,Panama,2020-07-11,22170
171,Papua New Guinea,2020-07-11,8
171,Paraguay,2020-07-11,1261
171,Peru,2020-07-11,214152
171,Philippines,2020-07-11,14037
171,Poland,2020-07-11,26635
171,Portugal,2020-07-11,30655
171,Qatar,2020-07-11,98934
171,Romania,2020-07-11,21414
171,Russia,2020-07-11,496594
171,Rwanda,2020-07-11,663
171,Saint Kitts and Nevis,2020-07-11,15
171,Saint Lucia,2020-07-11,19
171,Saint Vincent and the Grenadines,2020-07-11,29
171,San Marino,2020-07-11,656
171,Sao Tome and Principe,2020-07-11,284
171,Saudi Arabia,2020-07-11,165396
171,Senegal,2020-07-11,5381
171,Serbia,2020-07-11,13780
171,Seychelles,2020-07-11,11
171,Sierra Leone,2020-07-11,1141
