,Country,Dates,Recovered
170,Afghanistan,2020-07-10,20882
170,Albania,2020-07-10,1875
170,Algeria,2020-07-10,13124
170,Andorra,2020-07-10,803
170,Angola,2020-07-10,117
170,Antigua and Barbuda,2020-07-10,57
170,Argentina,2020-07-10,38984
170,Armenia,2020-07-10,18709
170,Australia,2020-07-10,7733
170,Austria,2020-07-10,16808
170,Azerbaijan,2020-07-10,14093
170,Bahamas,2020-07-10,89
170,Bahrain,2020-07-10,27213
170,Bangladesh,2020-07-10,86406
170,Barbados,2020-07-10,90
170,Belarus,2020-07-10,54254
170,Belgium,2020-07-10,17179
170,Belize,2020-07-10,20
170,Benin,2020-07-10,333
170,Bhutan,2020-07-10,55
170,Bolivia,2020-07-10,13918
170,Bosnia and Herzegovina,2020-07-10,3037
170,Botswana,2020-07-10,31
170,Brazil,2020-07-10,1217361
170,Brunei,2020-07-10,138
170,Bulgaria,2020-07-10,3308
170,Burkina Faso,2020-07-10,862
170,Burma,2020-07-10,256
170,Burundi,2020-07-10,118
170,Cabo Verde,2020-07-10,730
170,Cambodia,2020-07-10,131
170,Cameroon,2020-07-10,11525
170,Canada,2020-07-10,72466
170,Central African Republic,2020-07-10,1142
170,Chad,2020-07-10,789
170,Chile,2020-07-10,278053
170,China,2020-07-10,79802
170,Colombia,2020-07-10,56272
170,Comoros,2020-07-10,272
170,Congo (Brazzaville),2020-07-10,589
170,Congo (Kinshasa),2020-07-10,3513
170,Costa Rica,2020-07-10,2110
170,Cote d'Ivoire,2020-07-10,6080
170,Croatia,2020-07-10,2377
170,Cuba,2020-07-10,2249
170,Cyprus,2020-07-10,839
170,Czechia,2020-07-10,8208
170,Denmark,2020-07-10,12278
170,Diamond Princess,2020-07-10,651
170,Djibouti,2020-07-10,4689
170,Dominica,2020-07-10,18
170,Dominican Republic,2020-07-10,20830
170,Ecuador,2020-07-10,29577
170,Egypt,2020-07-10,23274
170,El Salvador,2020-07-10,5428
170,Equatorial Guinea,2020-07-10,842
170,Eritrea,2020-07-10,107
170,Estonia,2020-07-10,1894
170,Eswatini,2020-07-10,633
170,Ethiopia,2020-07-10,2430
170,Fiji,2020-07-10,18
170,Finland,2020-07-10,6800
170,France,2020-07-10,78513
170,Gabon,2020-07-10,3004
170,Gambia,2020-07-10,34
170,Georgia,2020-07-10,846
170,Germany,2020-07-10,184028
170,Ghana,2020-07-10,19212
170,Greece,2020-07-10,1374
170,Grenada,2020-07-10,23
170,Guatemala,2020-07-10,4024
170,Guinea,2020-07-10,4732
170,Guinea-Bissau,2020-07-10,773
170,Guyana,2020-07-10,134
170,Haiti,2020-07-10,2590
170,Holy See,2020-07-10,12
170,Honduras,2020-07-10,2850
170,Hungary,2020-07-10,2941
170,Iceland,2020-07-10,1859
170,India,2020-07-10,515386
170,Indonesia,2020-07-10,33529
170,Iran,2020-07-10,215015
170,Iraq,2020-07-10,41380
170,Ireland,2020-07-10,23364
170,Israel,2020-07-10,18613
170,Italy,2020-07-10,194273
170,Jamaica,2020-07-10,605
170,Japan,2020-07-10,17494
170,Jordan,2020-07-10,986
170,Kazakhstan,2020-07-10,32500
170,Kenya,2020-07-10,2733
170,"Korea, South",2020-07-10,12144
170,Kosovo,2020-07-10,2095
170,Kuwait,2020-07-10,43214
170,Kyrgyzstan,2020-07-10,3236
170,Laos,2020-07-10,19
170,Latvia,2020-07-10,1019
170,Lebanon,2020-07-10,1402
170,Lesotho,2020-07-10,26
170,Liberia,2020-07-10,400
170,Libya,2020-07-10,307
170,Liechtenstein,2020-07-10,81
170,Lithuania,2020-07-10,1569
170,Luxembourg,2020-07-10,4086
170,MS Zaandam,2020-07-10,0
170,Madagascar,2020-07-10,2183
170,Malawi,2020-07-10,379
170,Malaysia,2020-07-10,8511
170,Maldives,2020-07-10,2238
170,Mali,2020-07-10,1650
170,Malta,2020-07-10,658
170,Mauritania,2020-07-10,2111
170,Mauritius,2020-07-10,330
170,Mexico,2020-07-10,225356
170,Moldova,2020-07-10,12188
170,Monaco,2020-07-10,96
170,Mongolia,2020-07-10,200
170,Montenegro,2020-07-10,320
170,Morocco,2020-07-10,11827
170,Mozambique,2020-07-10,344
170,Namibia,2020-07-10,25
170,Nepal,2020-07-10,8011
170,Netherlands,2020-07-10,192
170,New Zealand,2020-07-10,1497
