,Country,Dates,Confirmed
65,Afghanistan,2020-03-27,110
65,Albania,2020-03-27,186
65,Algeria,2020-03-27,409
65,Andorra,2020-03-27,267
65,Angola,2020-03-27,4
65,Antigua and Barbuda,2020-03-27,7
65,Argentina,2020-03-27,589
65,Armenia,2020-03-27,329
65,Australia,2020-03-27,3143
65,Austria,2020-03-27,7657
65,Azerbaijan,2020-03-27,165
65,Bahamas,2020-03-27,10
65,Bahrain,2020-03-27,466
65,Bangladesh,2020-03-27,48
65,Barbados,2020-03-27,24
65,Belarus,2020-03-27,94
65,Belgium,2020-03-27,7284
65,Belize,2020-03-27,2
65,Benin,2020-03-27,6
65,Bhutan,2020-03-27,3
65,Bolivia,2020-03-27,61
65,Bosnia and Herzegovina,2020-03-27,237
65,Brazil,2020-03-27,3417
65,Brunei,2020-03-27,115
65,Bulgaria,2020-03-27,293
65,Burkina Faso,2020-03-27,180
65,Burma,2020-03-27,8
65,Cabo Verde,2020-03-27,5
65,Cambodia,2020-03-27,99
65,Cameroon,2020-03-27,91
65,Canada,2020-03-27,4682
65,Central African Republic,2020-03-27,3
65,Chad,2020-03-27,3
65,Chile,2020-03-27,1610
65,China,2020-03-27,81897
65,Colombia,2020-03-27,539
65,Congo (Brazzaville),2020-03-27,4
65,Congo (Kinshasa),2020-03-27,51
65,Costa Rica,2020-03-27,263
65,Cote d'Ivoire,2020-03-27,101
65,Croatia,2020-03-27,586
65,Cuba,2020-03-27,80
65,Cyprus,2020-03-27,162
65,Czechia,2020-03-27,2279
65,Denmark,2020-03-27,2200
65,Diamond Princess,2020-03-27,712
65,Djibouti,2020-03-27,12
65,Dominica,2020-03-27,11
65,Dominican Republic,2020-03-27,581
65,Ecuador,2020-03-27,1595
65,Egypt,2020-03-27,536
65,El Salvador,2020-03-27,13
65,Equatorial Guinea,2020-03-27,12
65,Eritrea,2020-03-27,6
65,Estonia,2020-03-27,575
65,Eswatini,2020-03-27,9
65,Ethiopia,2020-03-27,16
65,Fiji,2020-03-27,5
65,Finland,2020-03-27,1041
65,France,2020-03-27,33402
65,Gabon,2020-03-27,7
65,Gambia,2020-03-27,3
65,Georgia,2020-03-27,83
65,Germany,2020-03-27,50871
65,Ghana,2020-03-27,137
65,Greece,2020-03-27,966
65,Grenada,2020-03-27,7
65,Guatemala,2020-03-27,28
65,Guinea,2020-03-27,8
65,Guinea-Bissau,2020-03-27,2
65,Guyana,2020-03-27,5
65,Haiti,2020-03-27,8
65,Holy See,2020-03-27,4
65,Honduras,2020-03-27,68
65,Hungary,2020-03-27,300
65,Iceland,2020-03-27,890
65,India,2020-03-27,887
65,Indonesia,2020-03-27,1046
65,Iran,2020-03-27,32332
65,Iraq,2020-03-27,458
65,Ireland,2020-03-27,2121
65,Israel,2020-03-27,3035
65,Italy,2020-03-27,86498
65,Jamaica,2020-03-27,26
65,Japan,2020-03-27,1468
65,Jordan,2020-03-27,235
65,Kazakhstan,2020-03-27,150
65,Kenya,2020-03-27,31
65,"Korea, South",2020-03-27,9332
65,Kosovo,2020-03-27,86
65,Kuwait,2020-03-27,225
65,Kyrgyzstan,2020-03-27,58
65,Laos,2020-03-27,6
65,Latvia,2020-03-27,280
65,Lebanon,2020-03-27,391
65,Liberia,2020-03-27,3
65,Libya,2020-03-27,1
65,Liechtenstein,2020-03-27,56
65,Lithuania,2020-03-27,358
65,Luxembourg,2020-03-27,1605
65,Madagascar,2020-03-27,26
65,Malaysia,2020-03-27,2161
65,Maldives,2020-03-27,16
65,Mali,2020-03-27,11
65,Malta,2020-03-27,139
65,Mauritania,2020-03-27,3
65,Mauritius,2020-03-27,94
65,Mexico,2020-03-27,585
65,Moldova,2020-03-27,199
65,Monaco,2020-03-27,42
65,Mongolia,2020-03-27,11
65,Montenegro,2020-03-27,82
65,Morocco,2020-03-27,345
65,Mozambique,2020-03-27,7
65,Namibia,2020-03-27,8
65,Nepal,2020-03-27,4
65,Netherlands,2020-03-27,8647
65,New Zealand,2020-03-27,368
65,Nicaragua,2020-03-27,2
65,Niger,2020-03-27,10
65,Nigeria,2020-03-27,70
65,North Macedonia,2020-03-27,219
65,Norway,2020-03-27,3755
65,Oman,2020-03-27,131
65,Pakistan,2020-03-27,1373
65,Panama,2020-03-27,674
65,Papua New Guinea,2020-03-27,1
65,Paraguay,2020-03-27,52
65,Peru,2020-03-27,635
65,Philippines,2020-03-27,803
65,Poland,2020-03-27,1389
65,Portugal,2020-03-27,4268
65,Qatar,2020-03-27,562
65,Romania,2020-03-27,1292
65,Russia,2020-03-27,1036
65,Rwanda,2020-03-27,54
65,Saint Kitts and Nevis,2020-03-27,2
65,Saint Lucia,2020-03-27,3
65,Saint Vincent and the Grenadines,2020-03-27,1
65,San Marino,2020-03-27,223
65,Saudi Arabia,2020-03-27,1104
65,Senegal,2020-03-27,119
65,Serbia,2020-03-27,457
65,Seychelles,2020-03-27,7
65,Singapore,2020-03-27,732
65,Slovakia,2020-03-27,269
65,Slovenia,2020-03-27,632
65,Somalia,2020-03-27,3
65,South Africa,2020-03-27,1170
65,Spain,2020-03-27,65719
65,Sri Lanka,2020-03-27,106
65,Sudan,2020-03-27,3
65,Suriname,2020-03-27,8
65,Sweden,2020-03-27,3069
65,Switzerland,2020-03-27,12928
65,Syria,2020-03-27,5
65,Taiwan*,2020-03-27,267
65,Tanzania,2020-03-27,13
65,Thailand,2020-03-27,1136
65,Timor-Leste,2020-03-27,1
65,Togo,2020-03-27,25
65,Trinidad and Tobago,2020-03-27,66
65,Tunisia,2020-03-27,227
65,Turkey,2020-03-27,5698
65,US,2020-03-27,101657
65,Uganda,2020-03-27,23
65,Ukraine,2020-03-27,310
65,United Arab Emirates,2020-03-27,405
65,United Kingdom,2020-03-27,14745
65,Uruguay,2020-03-27,238
65,Uzbekistan,2020-03-27,88
65,Venezuela,2020-03-27,107
65,Vietnam,2020-03-27,163
65,West Bank and Gaza,2020-03-27,91
65,Zambia,2020-03-27,22
65,Zimbabwe,2020-03-27,5
