,Country,Dates,Deaths
69,Afghanistan,2020-03-31,4
69,Albania,2020-03-31,15
69,Algeria,2020-03-31,44
69,Andorra,2020-03-31,12
69,Angola,2020-03-31,2
69,Antigua and Barbuda,2020-03-31,0
69,Argentina,2020-03-31,27
69,Armenia,2020-03-31,3
69,Australia,2020-03-31,18
69,Austria,2020-03-31,128
69,Azerbaijan,2020-03-31,5
69,Bahamas,2020-03-31,0
69,Bahrain,2020-03-31,4
69,Bangladesh,2020-03-31,5
69,Barbados,2020-03-31,0
69,Belarus,2020-03-31,1
69,Belgium,2020-03-31,705
69,Belize,2020-03-31,0
69,Benin,2020-03-31,0
69,Bhutan,2020-03-31,0
69,Bolivia,2020-03-31,6
69,Bosnia and Herzegovina,2020-03-31,13
69,Botswana,2020-03-31,1
69,Brazil,2020-03-31,201
69,Brunei,2020-03-31,1
69,Bulgaria,2020-03-31,8
69,Burkina Faso,2020-03-31,14
69,Burma,2020-03-31,1
69,Burundi,2020-03-31,0
69,Cabo Verde,2020-03-31,1
69,Cambodia,2020-03-31,0
69,Cameroon,2020-03-31,6
69,Canada,2020-03-31,101
69,Central African Republic,2020-03-31,0
69,Chad,2020-03-31,0
69,Chile,2020-03-31,12
69,China,2020-03-31,3309
69,Colombia,2020-03-31,16
69,Congo (Brazzaville),2020-03-31,0
69,Congo (Kinshasa),2020-03-31,8
69,Costa Rica,2020-03-31,2
69,Cote d'Ivoire,2020-03-31,1
69,Croatia,2020-03-31,6
69,Cuba,2020-03-31,6
69,Cyprus,2020-03-31,8
69,Czechia,2020-03-31,31
69,Denmark,2020-03-31,90
69,Diamond Princess,2020-03-31,10
69,Djibouti,2020-03-31,0
69,Dominica,2020-03-31,0
69,Dominican Republic,2020-03-31,51
69,Ecuador,2020-03-31,75
69,Egypt,2020-03-31,46
69,El Salvador,2020-03-31,1
69,Equatorial Guinea,2020-03-31,0
69,Eritrea,2020-03-31,0
69,Estonia,2020-03-31,4
69,Eswatini,2020-03-31,0
69,Ethiopia,2020-03-31,0
69,Fiji,2020-03-31,0
69,Finland,2020-03-31,17
69,France,2020-03-31,3532
69,Gabon,2020-03-31,1
69,Gambia,2020-03-31,1
69,Georgia,2020-03-31,0
69,Germany,2020-03-31,775
69,Ghana,2020-03-31,5
69,Greece,2020-03-31,49
69,Grenada,2020-03-31,0
69,Guatemala,2020-03-31,1
69,Guinea,2020-03-31,0
69,Guinea-Bissau,2020-03-31,0
69,Guyana,2020-03-31,2
69,Haiti,2020-03-31,0
69,Holy See,2020-03-31,0
69,Honduras,2020-03-31,7
69,Hungary,2020-03-31,16
69,Iceland,2020-03-31,2
69,India,2020-03-31,35
69,Indonesia,2020-03-31,136
69,Iran,2020-03-31,2898
69,Iraq,2020-03-31,50
69,Ireland,2020-03-31,71
69,Israel,2020-03-31,20
69,Italy,2020-03-31,12428
69,Jamaica,2020-03-31,1
69,Japan,2020-03-31,56
69,Jordan,2020-03-31,5
69,Kazakhstan,2020-03-31,2
69,Kenya,2020-03-31,1
69,"Korea, South",2020-03-31,162
69,Kosovo,2020-03-31,1
69,Kuwait,2020-03-31,0
69,Kyrgyzstan,2020-03-31,0
69,Laos,2020-03-31,0
69,Latvia,2020-03-31,0
69,Lebanon,2020-03-31,12
69,Liberia,2020-03-31,0
69,Libya,2020-03-31,0
69,Liechtenstein,2020-03-31,0
69,Lithuania,2020-03-31,8
69,Luxembourg,2020-03-31,23
69,MS Zaandam,2020-03-31,0
69,Madagascar,2020-03-31,0
69,Malaysia,2020-03-31,43
69,Maldives,2020-03-31,0
69,Mali,2020-03-31,2
69,Malta,2020-03-31,0
69,Mauritania,2020-03-31,1
69,Mauritius,2020-03-31,5
69,Mexico,2020-03-31,28
69,Moldova,2020-03-31,4
69,Monaco,2020-03-31,1
69,Mongolia,2020-03-31,0
69,Montenegro,2020-03-31,2
69,Morocco,2020-03-31,36
69,Mozambique,2020-03-31,0
69,Namibia,2020-03-31,0
69,Nepal,2020-03-31,0
69,Netherlands,2020-03-31,1040
69,New Zealand,2020-03-31,1
69,Nicaragua,2020-03-31,1
69,Niger,2020-03-31,3
69,Nigeria,2020-03-31,2
69,North Macedonia,2020-03-31,9
69,Norway,2020-03-31,39
69,Oman,2020-03-31,1
69,Pakistan,2020-03-31,26
69,Panama,2020-03-31,30
69,Papua New Guinea,2020-03-31,0
69,Paraguay,2020-03-31,3
69,Peru,2020-03-31,30
69,Philippines,2020-03-31,88
69,Poland,2020-03-31,33
69,Portugal,2020-03-31,160
69,Qatar,2020-03-31,2
69,Romania,2020-03-31,82
69,Russia,2020-03-31,17
69,Rwanda,2020-03-31,0
69,Saint Kitts and Nevis,2020-03-31,0
69,Saint Lucia,2020-03-31,0
69,Saint Vincent and the Grenadines,2020-03-31,0
69,San Marino,2020-03-31,26
69,Saudi Arabia,2020-03-31,10
69,Senegal,2020-03-31,0
69,Serbia,2020-03-31,16
69,Seychelles,2020-03-31,0
69,Sierra Leone,2020-03-31,0
69,Singapore,2020-03-31,3
69,Slovakia,2020-03-31,0
69,Slovenia,2020-03-31,15
69,Somalia,2020-03-31,0
69,South Africa,2020-03-31,5
69,Spain,2020-03-31,8464
69,Sri Lanka,2020-03-31,2
69,Sudan,2020-03-31,2
69,Suriname,2020-03-31,0
69,Sweden,2020-03-31,180
69,Switzerland,2020-03-31,433
69,Syria,2020-03-31,2
69,Taiwan*,2020-03-31,5
69,Tanzania,2020-03-31,1
69,Thailand,2020-03-31,10
69,Timor-Leste,2020-03-31,0
69,Togo,2020-03-31,1
69,Trinidad and Tobago,2020-03-31,3
69,Tunisia,2020-03-31,10
69,Turkey,2020-03-31,214
69,US,2020-03-31,3873
69,Uganda,2020-03-31,0
69,Ukraine,2020-03-31,17
69,United Arab Emirates,2020-03-31,6
69,United Kingdom,2020-03-31,1793
69,Uruguay,2020-03-31,1
69,Uzbekistan,2020-03-31,2
69,Venezuela,2020-03-31,3
69,Vietnam,2020-03-31,0
69,West Bank and Gaza,2020-03-31,1
69,Zambia,2020-03-31,0
69,Zimbabwe,2020-03-31,1
