,Country,Dates,Recovered
69,Afghanistan,2020-03-31,5
69,Albania,2020-03-31,52
69,Algeria,2020-03-31,46
69,Andorra,2020-03-31,10
69,Angola,2020-03-31,1
69,Antigua and Barbuda,2020-03-31,0
69,Argentina,2020-03-31,240
69,Armenia,2020-03-31,30
69,Australia,2020-03-31,358
69,Austria,2020-03-31,1095
69,Azerbaijan,2020-03-31,26
69,Bahamas,2020-03-31,1
69,Bahrain,2020-03-31,295
69,Bangladesh,2020-03-31,25
69,Barbados,2020-03-31,0
69,Belarus,2020-03-31,47
69,Belgium,2020-03-31,1696
69,Belize,2020-03-31,0
69,Benin,2020-03-31,1
69,Bhutan,2020-03-31,0
69,Bolivia,2020-03-31,0
69,Bosnia and Herzegovina,2020-03-31,17
69,Botswana,2020-03-31,0
69,Brazil,2020-03-31,127
69,Brunei,2020-03-31,45
69,Bulgaria,2020-03-31,17
69,Burkina Faso,2020-03-31,32
69,Burma,2020-03-31,0
69,Burundi,2020-03-31,0
69,Cabo Verde,2020-03-31,0
69,Cambodia,2020-03-31,23
69,Cameroon,2020-03-31,5
69,Canada,2020-03-31,1592
69,Central African Republic,2020-03-31,0
69,Chad,2020-03-31,0
69,Chile,2020-03-31,156
69,China,2020-03-31,76206
69,Colombia,2020-03-31,31
69,Congo (Brazzaville),2020-03-31,0
69,Congo (Kinshasa),2020-03-31,2
69,Costa Rica,2020-03-31,4
69,Cote d'Ivoire,2020-03-31,7
69,Croatia,2020-03-31,67
69,Cuba,2020-03-31,8
69,Cyprus,2020-03-31,23
69,Czechia,2020-03-31,45
69,Denmark,2020-03-31,77
69,Diamond Princess,2020-03-31,603
69,Djibouti,2020-03-31,0
69,Dominica,2020-03-31,0
69,Dominican Republic,2020-03-31,5
69,Ecuador,2020-03-31,54
69,Egypt,2020-03-31,157
69,El Salvador,2020-03-31,0
69,Equatorial Guinea,2020-03-31,1
69,Eritrea,2020-03-31,0
69,Estonia,2020-03-31,26
69,Eswatini,2020-03-31,0
69,Ethiopia,2020-03-31,2
69,Fiji,2020-03-31,0
69,Finland,2020-03-31,10
69,France,2020-03-31,9513
69,Gabon,2020-03-31,0
69,Gambia,2020-03-31,0
69,Georgia,2020-03-31,21
69,Germany,2020-03-31,16100
69,Ghana,2020-03-31,31
69,Greece,2020-03-31,52
69,Grenada,2020-03-31,0
69,Guatemala,2020-03-31,12
69,Guinea,2020-03-31,0
69,Guinea-Bissau,2020-03-31,0
69,Guyana,2020-03-31,0
69,Haiti,2020-03-31,1
69,Holy See,2020-03-31,0
69,Honduras,2020-03-31,3
69,Hungary,2020-03-31,37
69,Iceland,2020-03-31,198
69,India,2020-03-31,123
69,Indonesia,2020-03-31,81
69,Iran,2020-03-31,14656
69,Iraq,2020-03-31,170
69,Ireland,2020-03-31,5
69,Israel,2020-03-31,224
69,Italy,2020-03-31,15729
69,Jamaica,2020-03-31,2
69,Japan,2020-03-31,424
69,Jordan,2020-03-31,30
69,Kazakhstan,2020-03-31,24
69,Kenya,2020-03-31,1
69,"Korea, South",2020-03-31,5408
69,Kosovo,2020-03-31,6
69,Kuwait,2020-03-31,73
69,Kyrgyzstan,2020-03-31,3
69,Laos,2020-03-31,0
69,Latvia,2020-03-31,1
69,Lebanon,2020-03-31,37
69,Liberia,2020-03-31,0
69,Libya,2020-03-31,1
69,Liechtenstein,2020-03-31,0
69,Lithuania,2020-03-31,7
69,Luxembourg,2020-03-31,80
69,MS Zaandam,2020-03-31,0
69,Madagascar,2020-03-31,0
69,Malaysia,2020-03-31,537
69,Maldives,2020-03-31,13
69,Mali,2020-03-31,0
69,Malta,2020-03-31,2
69,Mauritania,2020-03-31,2
69,Mauritius,2020-03-31,0
69,Mexico,2020-03-31,35
69,Moldova,2020-03-31,18
69,Monaco,2020-03-31,2
69,Mongolia,2020-03-31,2
69,Montenegro,2020-03-31,0
69,Morocco,2020-03-31,24
69,Mozambique,2020-03-31,0
69,Namibia,2020-03-31,2
69,Nepal,2020-03-31,1
69,Netherlands,2020-03-31,253
69,New Zealand,2020-03-31,74
69,Nicaragua,2020-03-31,0
69,Niger,2020-03-31,0
69,Nigeria,2020-03-31,8
69,North Macedonia,2020-03-31,12
69,Norway,2020-03-31,13
69,Oman,2020-03-31,34
69,Pakistan,2020-03-31,76
69,Panama,2020-03-31,9
69,Papua New Guinea,2020-03-31,0
69,Paraguay,2020-03-31,1
69,Peru,2020-03-31,394
69,Philippines,2020-03-31,49
69,Poland,2020-03-31,7
69,Portugal,2020-03-31,43
69,Qatar,2020-03-31,62
69,Romania,2020-03-31,220
69,Russia,2020-03-31,121
69,Rwanda,2020-03-31,0
69,Saint Kitts and Nevis,2020-03-31,0
69,Saint Lucia,2020-03-31,1
69,Saint Vincent and the Grenadines,2020-03-31,1
69,San Marino,2020-03-31,13
69,Saudi Arabia,2020-03-31,165
69,Senegal,2020-03-31,40
69,Serbia,2020-03-31,0
69,Seychelles,2020-03-31,0
69,Sierra Leone,2020-03-31,0
69,Singapore,2020-03-31,240
69,Slovakia,2020-03-31,3
69,Slovenia,2020-03-31,10
69,Somalia,2020-03-31,1
69,South Africa,2020-03-31,31
69,Spain,2020-03-31,19259
69,Sri Lanka,2020-03-31,17
69,Sudan,2020-03-31,1
69,Suriname,2020-03-31,0
69,Sweden,2020-03-31,16
69,Switzerland,2020-03-31,1823
69,Syria,2020-03-31,0
69,Taiwan*,2020-03-31,39
69,Tanzania,2020-03-31,1
69,Thailand,2020-03-31,342
69,Timor-Leste,2020-03-31,0
69,Togo,2020-03-31,10
69,Trinidad and Tobago,2020-03-31,1
69,Tunisia,2020-03-31,3
69,Turkey,2020-03-31,243
69,US,2020-03-31,7024
69,Uganda,2020-03-31,0
69,Ukraine,2020-03-31,10
69,United Arab Emirates,2020-03-31,61
69,United Kingdom,2020-03-31,179
69,Uruguay,2020-03-31,41
69,Uzbekistan,2020-03-31,7
69,Venezuela,2020-03-31,39
69,Vietnam,2020-03-31,58
69,West Bank and Gaza,2020-03-31,18
69,Zambia,2020-03-31,0
69,Zimbabwe,2020-03-31,0
